TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
22;true;false;true;true;4;REQ005
34;true;true;true;false;4;REQ006
77;false;false;true;false;2;REQ003
108;true;true;true;true;2;
156;false;true;false;true;5;REQ007
190;true;false;true;false;4;REQ005
228;true;true;false;true;4;REQ006
267;true;false;false;false;4;REQ005
276;true;true;true;true;4;REQ006
319;true;true;false;true;4;
332;true;true;false;true;4;
348;false;true;false;true;5;REQ007
380;false;true;false;false;5;REQ007
392;true;false;false;false;4;REQ005
426;true;false;true;false;4;REQ005
472;false;false;true;false;2;REQ003
517;false;true;true;false;5;REQ007
538;true;true;false;true;5;REQ008
588;false;true;true;true;5;REQ007
617;false;false;true;true;0;REQ001
652;true;false;true;false;4;REQ005
693;false;false;false;true;1;REQ002
705;true;true;false;false;1;
749;true;true;false;false;1;
773;false;false;false;true;1;REQ002
