TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
250;1;1;81;0;0;REQ012REQ004
520;1;2;79;2;3;REQ001REQ014
771;1;2;81;3;3;REQ008REQ003
1008;1;1;81;1;1;REQ013REQ002
1230;0;2;81;3;3;REQ002REQ011REQ003
1520;0;2;80;2;3;REQ001
1811;0;2;81;3;3;REQ003
2065;0;2;80;2;3;REQ001
2356;0;1;80;2;1;REQ010
2619;1;0;80;2;0;REQ012
2874;0;1;80;2;1;REQ010
3185;1;0;81;0;0;REQ002REQ012REQ004
3426;0;1;79;2;1;REQ001REQ010
3655;0;0;80;2;1;
3993;0;1;80;2;1;REQ010
4307;0;1;79;2;1;
4544;0;2;79;2;3;REQ011
4793;0;0;79;2;3;
5065;1;1;79;2;0;REQ012
5389;1;2;81;3;3;REQ009REQ004REQ014REQ003
5711;1;1;79;2;1;REQ001REQ013
5946;1;1;81;1;1;REQ007REQ002
6283;1;1;80;2;1;REQ001
6623;0;1;80;2;1;
6844;1;2;80;2;0;REQ012
