TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
36;false;11;true;off ;high ;false;REQ001REQ002REQ011
81;true;7;true;on ;low ;false;REQ004REQ003REQ010
108;true;2;false;on ;low ;false;
151;false;0;false;on ;low ;false;
170;false;6;false;on ;low ;false;
210;false;11;false;off ;high ;false;REQ001REQ002REQ011
258;false;6;true;on ;low ;false;REQ004REQ003REQ010
279;true;1;false;off ;low ;true;REQ005REQ009
301;true;3;false;off ;low ;true;
332;false;1;false;off ;low ;true;
347;true;9;true;off ;permitted ;false;REQ006REQ001
366;false;6;false;on ;low ;false;REQ003REQ010
381;true;0;false;off ;low ;true;REQ005REQ009
411;false;7;false;off ;low ;true;
449;false;1;true;on ;low ;false;REQ006REQ010
492;true;5;true;on ;low ;false;
542;false;10;false;off ;high ;false;REQ001REQ002REQ011
563;false;7;true;on ;low ;false;REQ004REQ003REQ010
594;true;10;false;off ;high ;false;REQ001REQ005REQ011REQ002REQ008
613;true;4;true;on ;low ;false;REQ004REQ003REQ010
633;true;7;false;on ;low ;false;
668;false;6;false;on ;low ;false;
712;true;11;true;off ;high ;false;REQ001REQ011REQ002
723;true;4;true;on ;low ;false;REQ004REQ003REQ010
736;true;9;false;off ;permitted ;false;REQ001REQ011
786;true;1;false;on ;low ;false;REQ003REQ010
837;true;3;true;on ;low ;false;
869;false;4;false;on ;low ;false;
890;false;5;true;on ;low ;false;
900;true;3;true;on ;low ;false;
912;true;11;true;off ;high ;false;REQ001REQ002REQ011
933;true;7;true;on ;low ;false;REQ004REQ003REQ010
951;true;5;false;on ;low ;false;
975;true;8;true;on ;low ;false;
1022;false;6;true;on ;low ;false;
1034;false;5;false;on ;low ;false;
