TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
221;0;2;79;2;3;REQ011
534;1;0;80;2;0;REQ012
772;1;2;80;2;3;REQ014
1083;1;0;80;2;0;REQ015
1374;0;0;81;0;0;REQ009REQ004
1613;0;2;81;3;3;REQ004REQ011REQ003
1860;0;0;79;2;3;REQ001
2095;1;1;80;2;0;REQ012
2436;0;2;80;2;3;REQ011
2677;1;2;80;2;0;REQ012
2928;1;1;79;2;1;REQ013
3219;0;1;80;2;1;
3518;1;2;79;2;0;REQ012
3776;0;2;81;3;3;REQ009REQ004REQ017REQ003
4024;0;2;80;2;3;REQ001
4324;1;0;79;2;0;REQ012
4574;1;2;79;2;3;REQ014
4797;0;1;80;2;1;REQ010
5076;1;0;81;0;0;REQ002REQ012REQ004
5317;1;0;79;2;0;REQ001
5648;1;2;79;2;3;REQ014
5906;1;0;80;2;0;REQ015
6133;0;1;81;1;1;REQ010REQ002
6458;1;2;80;2;0;REQ001REQ012
6699;1;0;80;2;0;
