TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
20;true;9;false;off ;permitted ;true;REQ001REQ011REQ005
41;false;9;false;off ;permitted ;true;
62;true;9;false;off ;permitted ;true;
82;true;5;true;on ;low ;false;REQ003REQ006REQ010
124;true;5;true;on ;low ;false;
150;false;11;false;off ;high ;false;REQ001REQ002REQ011
171;true;6;true;on ;low ;false;REQ004REQ003REQ010
222;true;11;true;off ;high ;false;REQ001REQ002REQ011
269;false;7;false;on ;low ;false;REQ004REQ003REQ010
307;false;10;true;off ;high ;false;REQ001REQ011REQ002
329;true;8;false;off ;low ;true;REQ004REQ005REQ003
375;false;4;true;on ;low ;false;REQ006REQ010
402;true;3;false;off ;low ;true;REQ005REQ009
420;false;4;true;on ;low ;false;REQ006REQ010
430;true;0;false;off ;low ;true;REQ005REQ009
452;false;2;true;on ;low ;false;REQ006REQ010
498;false;1;false;on ;low ;false;
521;false;0;true;on ;low ;false;
545;false;6;true;on ;low ;false;
594;true;3;false;off ;low ;true;REQ005REQ009
638;false;3;true;on ;low ;false;REQ006REQ010
652;true;7;false;off ;low ;true;REQ005REQ009
668;true;6;false;off ;low ;true;
711;false;9;true;off ;permitted ;false;REQ006REQ010REQ001REQ011
756;true;9;true;off ;permitted ;false;
770;true;5;true;on ;low ;false;REQ003REQ010
808;false;9;false;off ;permitted ;false;REQ001REQ011
836;false;1;true;on ;low ;false;REQ003REQ010
855;false;9;false;off ;permitted ;false;REQ001REQ011
871;false;3;true;on ;low ;false;REQ003REQ010
905;true;11;true;off ;high ;false;REQ001REQ002REQ011
950;true;9;false;off ;permitted ;false;REQ004
998;true;5;false;on ;low ;false;REQ003REQ010
1034;true;9;true;off ;permitted ;false;REQ001REQ011
1077;true;0;false;on ;low ;false;REQ003REQ010
1095;false;6;true;on ;low ;false;
