TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
268;1;0;80;2;0;REQ012
581;1;0;80;2;0;
916;1;0;81;0;0;REQ009REQ004
1212;0;1;80;2;1;REQ010REQ001
1474;1;2;81;0;0;REQ012REQ004
1712;0;1;80;2;1;REQ001REQ010
1974;1;2;81;0;0;REQ002REQ012REQ004
2291;1;1;80;2;1;REQ013REQ001
2512;0;0;81;1;1;REQ002
2782;1;1;79;2;0;REQ012REQ001
3106;0;1;81;1;1;REQ004REQ016REQ002
3345;1;2;80;2;0;REQ012REQ001
3596;1;0;79;2;0;
3878;1;2;79;2;3;REQ014
4200;1;0;81;0;0;REQ008REQ015REQ004
4486;1;0;79;2;0;REQ001
4801;0;2;79;2;3;REQ011
5102;1;0;79;2;0;REQ012
5385;1;0;79;2;0;
5610;0;2;81;3;3;REQ011REQ003
5848;1;1;81;0;0;REQ003REQ012REQ004
6095;0;2;81;3;3;REQ004REQ011REQ003
6401;0;1;81;1;1;REQ003REQ010REQ002
6657;0;0;81;1;1;REQ002
6918;1;2;81;0;0;REQ002REQ012REQ004
