TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;false;false;1;0;
6;true;false;1;0;
9;false;true;0;0;REQ001
11;true;true;0;0;
13;false;true;0;0;
15;true;true;0;0;
18;false;false;0;0;
21;false;false;0;0;
24;true;false;3;0;REQ002
26;true;true;3;0;
29;false;true;3;0;
31;false;false;3;0;
33;false;false;3;0;
36;false;true;0;1;REQ004REQ001
39;true;true;0;1;
42;true;true;0;1;
44;false;true;0;1;
47;false;false;0;1;
50;false;false;0;1;
53;true;false;3;1;REQ002
56;true;false;3;1;
58;true;true;3;1;
61;true;true;3;1;
64;true;true;1;1;REQ004
66;false;false;1;1;
69;true;true;0;1;REQ001
71;false;false;0;1;
73;false;false;0;1;
76;false;true;0;1;
79;false;true;0;1;
81;true;false;0;1;
84;true;true;0;1;
