TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
23;true;true;false;false;3;
51;false;false;true;true;0;REQ001
83;true;true;false;true;0;
112;false;true;false;false;5;REQ007
147;false;false;true;false;2;REQ003
186;true;true;true;false;2;
224;false;false;false;false;3;REQ004
243;false;true;false;true;5;REQ007
275;false;false;true;true;0;REQ001
291;false;false;true;true;0;REQ001
309;true;true;false;true;0;
339;false;true;false;true;5;REQ007
356;true;false;true;true;4;REQ005
393;false;false;false;true;1;REQ002
411;false;true;false;false;5;REQ007
429;false;false;false;false;3;REQ004
460;false;false;false;false;3;REQ004
498;false;false;false;true;1;REQ002
539;true;false;false;false;4;REQ005
552;true;false;false;true;4;REQ005
594;false;true;false;false;5;REQ007
626;true;true;true;true;5;REQ008
661;true;true;false;false;5;
703;false;false;true;false;2;REQ003
745;false;false;true;false;2;REQ003
