TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;true;true;0;0;REQ001
5;false;false;0;0;
7;false;true;0;0;
9;true;false;0;0;
11;true;false;0;0;
13;false;true;0;0;
15;false;true;0;0;
18;false;false;0;0;
21;true;false;3;0;REQ002
24;true;true;3;0;
26;false;true;3;0;
28;true;true;3;0;
31;true;true;1;1;REQ004
33;true;true;1;1;
36;false;false;1;1;
38;false;false;1;1;
40;true;false;1;1;
43;false;true;0;1;REQ001
46;true;true;0;1;
49;false;false;0;1;
52;false;true;0;1;
54;false;true;0;1;
57;false;false;0;1;
60;true;false;3;1;REQ002
63;false;true;3;1;
65;true;true;3;1;
68;true;true;3;1;
70;true;false;1;1;REQ004
73;false;false;1;1;
75;false;false;1;1;
78;false;true;0;1;REQ001
80;true;true;0;1;
