TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
263;0;0;81;2;2;REQ005
598;1;0;79;2;0;REQ012REQ001
839;1;0;81;0;0;REQ004
1071;0;2;80;2;3;REQ001REQ011
1367;1;1;80;2;0;REQ012
1678;0;2;79;2;3;REQ011
1911;0;1;80;2;1;REQ010
2187;1;1;79;2;0;REQ012
2488;0;1;81;1;1;REQ004REQ016REQ002
2764;1;0;80;2;0;REQ001REQ012
3068;1;2;80;2;3;REQ014
3291;1;2;79;2;3;
3627;1;2;80;2;3;
3884;0;2;80;2;3;
4175;1;1;79;2;0;REQ012
4419;1;0;80;2;0;
4721;0;1;80;2;1;REQ010
4950;1;1;81;0;0;REQ012REQ004
5289;1;2;80;2;3;REQ001REQ014
5544;0;1;81;1;1;REQ008REQ010REQ002
5811;1;1;79;2;0;REQ012REQ001
6125;0;0;80;2;0;
6438;1;0;80;2;0;REQ012
6752;1;2;79;2;3;REQ014
7055;0;2;80;2;3;
