TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;true;false;1;0;
4;false;true;0;0;REQ001
6;true;true;0;0;
9;false;false;0;0;
11;false;true;0;0;
13;false;true;0;0;
15;true;true;0;0;
17;true;true;0;0;
19;true;false;0;0;
22;false;true;0;0;
24;false;true;0;0;
27;false;true;0;0;
30;true;true;0;0;
33;true;false;0;0;
35;false;true;0;0;
37;true;true;0;0;
39;true;false;0;0;
42;true;false;0;0;
45;true;false;0;0;
47;false;false;0;0;
50;false;true;0;0;
53;true;true;0;0;
56;false;true;0;0;
59;true;false;0;0;
62;true;true;0;0;
64;false;false;0;0;
67;false;true;0;0;
70;false;false;0;0;
73;true;false;2;0;REQ003
75;false;true;2;0;
78;true;true;2;0;
81;false;false;2;0;
