TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;false;false;1;0;
4;false;false;1;0;
7;false;true;0;0;REQ001
10;false;false;0;0;
13;false;false;0;0;
16;false;false;0;0;
18;false;true;0;0;
21;true;false;0;0;
24;true;false;0;0;
26;true;false;0;0;
29;false;false;0;0;
32;false;false;0;0;
34;false;true;0;0;
36;true;true;0;0;
39;false;false;0;0;
42;true;true;0;0;
45;false;false;0;0;
47;false;true;0;0;
49;true;false;0;0;
51;true;false;0;0;
53;false;true;0;0;
55;true;false;0;0;
57;false;true;0;0;
60;false;true;0;0;
63;true;true;0;0;
66;false;true;0;0;
69;true;false;0;0;
71;true;true;0;0;
73;false;true;0;0;
76;true;true;0;0;
78;true;false;0;0;
80;false;true;0;0;
