TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;false;true;0;0;REQ001
5;false;false;0;0;
8;true;false;3;0;REQ002
10;false;true;3;0;
12;true;false;3;0;
15;true;true;3;0;
18;true;true;1;1;REQ004
21;true;true;1;1;
23;true;false;1;1;
25;true;true;0;1;REQ001
27;false;false;0;1;
29;true;true;0;1;
31;false;true;0;1;
34;true;true;0;1;
37;true;true;0;1;
40;true;false;0;1;
43;false;true;0;1;
45;false;true;0;1;
48;false;true;0;1;
50;false;false;0;1;
53;false;false;0;1;
56;false;false;0;1;
59;true;true;0;1;
61;true;true;0;1;
63;true;false;0;1;
65;true;false;0;1;
68;false;false;0;1;
70;true;false;2;1;REQ003
72;false;false;2;1;
74;false;true;2;1;
76;false;false;2;1;
78;true;true;2;1;
