TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;false;true;0;0;REQ001
5;false;true;0;0;
8;true;false;0;0;
10;false;false;0;0;
13;true;false;3;0;REQ002
15;false;false;3;0;
18;true;false;3;0;
21;true;true;3;0;
23;false;false;1;1;REQ004
26;true;true;0;1;REQ001
28;true;false;0;1;
30;false;false;0;1;
32;false;true;0;1;
35;false;false;0;1;
38;true;true;0;1;
41;false;true;0;1;
44;false;false;0;1;
47;false;false;0;1;
49;true;true;0;1;
51;true;true;0;1;
53;true;false;0;1;
55;false;true;0;1;
57;false;true;0;1;
59;true;false;0;1;
62;true;true;0;1;
64;true;false;0;1;
67;true;false;0;1;
70;false;true;0;1;
73;false;false;0;1;
75;true;false;2;1;REQ003
77;true;false;2;1;
79;true;true;2;1;
