TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
13;true;true;true;true;3;
60;true;false;true;true;4;REQ005
106;true;true;false;true;4;REQ006
136;true;true;true;false;4;
172;true;false;false;true;4;REQ005
188;false;false;true;true;0;REQ001
226;true;false;false;false;4;REQ005
255;false;false;true;false;2;REQ003
301;false;true;true;true;5;REQ007
336;false;true;true;true;5;REQ007
364;true;false;true;false;4;REQ005
399;true;false;true;true;4;REQ005
432;false;true;true;false;5;REQ007
450;true;false;false;true;4;REQ005
472;true;true;false;false;4;REQ006
487;true;false;true;true;4;REQ005
534;true;true;false;false;4;REQ006
555;false;true;true;false;5;REQ007
565;true;true;true;false;5;REQ008
613;false;true;false;true;5;REQ007
655;true;false;false;true;4;REQ005
672;true;true;false;true;4;REQ006
701;false;true;true;true;5;REQ007
734;true;false;false;true;4;REQ005
781;true;true;true;true;4;REQ006
