TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;false;false;1;0;
6;true;false;1;0;
9;false;true;0;0;REQ001
11;false;false;0;0;
14;false;true;0;0;
17;true;false;0;0;
19;true;true;0;0;
21;true;false;0;0;
23;true;true;0;0;
25;false;true;0;0;
27;false;true;0;0;
29;false;false;0;0;
32;false;true;0;0;
34;true;false;0;0;
37;true;true;0;0;
40;true;false;0;0;
43;true;false;0;0;
45;true;false;0;0;
47;false;true;0;0;
50;false;true;0;0;
53;false;false;0;0;
56;true;false;2;0;REQ003
58;false;false;2;0;
61;true;false;2;0;
64;false;true;2;0;
66;false;true;2;0;
68;false;false;2;0;
70;false;false;2;0;
73;true;true;2;0;
75;true;false;2;0;
78;true;false;2;0;
80;true;true;2;0;
