TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
42;false;true;true;false;5;REQ007
65;true;true;false;false;5;REQ008
86;false;true;true;true;5;REQ007
96;false;true;false;false;5;REQ007
143;true;false;false;true;4;REQ005
189;false;false;true;false;2;REQ003
219;true;true;false;true;2;
246;false;true;true;false;5;REQ007
262;true;true;false;false;5;REQ008
283;false;true;true;true;5;REQ007
323;true;true;true;true;5;REQ008
359;false;false;true;true;0;REQ001
389;false;false;true;true;0;REQ001
421;false;true;false;false;5;REQ007
438;true;false;true;false;4;REQ005
481;true;false;false;true;4;REQ005
499;true;true;false;false;4;REQ006
524;true;false;false;false;4;REQ005
561;false;false;true;false;2;REQ003
592;false;true;true;false;5;REQ007
634;true;true;true;true;5;REQ008
663;true;false;true;true;4;REQ005
706;false;false;false;true;1;REQ002
742;false;true;false;false;5;REQ007
763;false;false;false;true;1;REQ002
