TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
336;1;2;80;2;0;REQ012
640;1;2;79;2;0;
971;0;2;81;3;3;REQ017REQ003
1300;0;1;79;2;1;REQ001REQ010
1614;1;2;80;2;0;REQ012
1872;1;1;80;2;1;REQ013
2149;0;2;81;3;3;REQ007REQ002REQ011REQ003
2441;1;1;80;2;0;REQ001REQ012
2724;0;0;81;0;0;REQ009REQ004
2996;0;1;79;2;1;REQ001REQ010
3218;1;0;80;2;0;REQ012
3474;1;0;81;0;0;REQ004
3797;0;0;80;2;0;REQ001
4094;0;0;80;2;0;
4315;1;2;80;2;0;REQ012
4627;1;0;81;0;0;REQ009REQ004
4899;0;0;80;2;0;REQ001
5135;0;2;79;2;3;REQ011
5427;0;1;81;1;1;REQ010REQ002
5663;0;1;81;1;1;REQ002
5918;0;0;79;2;1;REQ001
6168;1;1;79;2;0;REQ012
6387;0;0;80;2;0;
6697;1;1;79;2;0;REQ012
7018;0;2;79;2;3;REQ011
