TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
31;true;1;false;off ;low ;true;REQ005REQ009
69;false;3;false;off ;low ;true;
114;false;8;true;on ;low ;false;REQ006REQ010
150;true;6;true;on ;low ;false;
187;false;10;true;off ;high ;false;REQ001REQ011REQ002
207;true;11;true;off ;high ;false;
235;false;3;false;on ;low ;false;REQ004REQ003REQ010
269;false;11;false;off ;high ;false;REQ001REQ002REQ011
294;true;11;true;off ;high ;false;
332;true;7;true;on ;low ;false;REQ004REQ003REQ010
366;true;8;false;on ;low ;false;
404;true;1;false;on ;low ;false;
446;false;4;true;on ;low ;false;
486;false;3;true;on ;low ;false;
510;false;0;true;on ;low ;false;
538;true;3;false;off ;low ;true;REQ005REQ009
580;true;7;false;off ;low ;true;
594;true;1;true;on ;low ;false;REQ006REQ010
630;false;1;true;on ;low ;false;
642;false;5;true;on ;low ;false;
675;true;0;false;off ;low ;true;REQ005REQ009
689;false;3;true;on ;low ;false;REQ006REQ010
730;true;4;true;on ;low ;false;
753;true;3;false;on ;low ;false;
782;true;7;true;on ;low ;false;
826;false;9;false;off ;permitted ;false;REQ001REQ011
863;true;7;false;off ;low ;true;REQ003REQ005
888;true;8;true;on ;low ;false;REQ006REQ010
926;true;7;true;on ;low ;false;
937;false;0;false;on ;low ;false;
980;false;8;true;on ;low ;false;
997;true;0;true;on ;low ;false;
1029;false;9;false;off ;permitted ;false;REQ001REQ011
1057;true;11;true;off ;high ;false;REQ002
1103;true;6;true;on ;low ;false;REQ004REQ003REQ010
1153;false;4;true;on ;low ;false;
