TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
249;1;0;79;2;0;REQ012
583;1;1;79;2;1;REQ013
835;1;2;80;2;3;REQ014
1173;1;0;79;2;0;REQ015
1441;0;1;79;2;1;REQ010
1687;0;1;80;2;1;
1986;0;2;79;2;3;REQ011
2212;0;2;81;3;3;REQ008REQ003
2455;1;1;80;2;0;REQ001REQ012
2711;1;2;79;2;3;REQ014
3050;1;1;79;2;1;REQ013
3334;0;0;81;1;1;REQ002
3603;1;0;81;0;0;REQ012REQ004
3944;0;1;79;2;1;REQ010REQ001
4268;0;1;81;1;1;REQ002
4544;1;0;79;2;0;REQ001REQ012
4766;0;0;79;2;0;
5065;0;1;80;2;1;REQ010
5341;0;0;80;2;1;
5675;1;2;81;0;0;REQ012REQ004
5963;0;1;81;1;1;REQ004REQ010REQ002
6270;1;0;79;2;0;REQ012REQ001
6491;0;0;79;2;0;
6826;0;2;81;3;3;REQ011REQ003
7143;0;0;80;2;3;REQ001
