TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
21;false;false;true;true;0;REQ001
58;false;true;false;false;5;REQ007
68;true;false;true;false;4;REQ005
87;false;true;true;true;5;REQ007
117;true;false;true;false;4;REQ005
165;false;true;false;true;5;REQ007
186;true;true;false;false;5;REQ008
232;true;false;true;false;4;REQ005
245;true;false;false;true;4;REQ005
264;false;false;true;false;2;REQ003
281;true;false;true;true;4;REQ005
291;false;false;false;true;1;REQ002
329;true;false;false;true;4;REQ005
340;false;false;false;false;3;REQ004
379;false;true;false;true;5;REQ007
417;true;true;true;true;5;REQ008
450;false;false;true;false;2;REQ003
485;false;true;true;true;5;REQ007
512;true;false;false;true;4;REQ005
550;true;false;true;false;4;REQ005
580;false;false;false;true;1;REQ002
630;true;false;true;true;4;REQ005
644;false;true;true;false;5;REQ007
668;false;false;false;true;1;REQ002
716;true;false;true;true;4;REQ005
