TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;false;false;1;0;
5;false;true;0;0;REQ001
8;false;false;0;0;
10;true;true;0;0;
12;false;false;0;0;
15;true;true;0;0;
18;false;true;0;0;
20;false;true;0;0;
22;true;true;0;0;
24;false;true;0;0;
26;true;true;0;0;
28;true;false;0;0;
31;true;true;0;0;
33;false;true;0;0;
36;false;true;0;0;
38;true;true;0;0;
40;true;false;0;0;
42;false;false;0;0;
44;false;true;0;0;
47;false;false;0;0;
49;true;true;0;0;
52;true;false;0;0;
54;false;true;0;0;
57;true;false;0;0;
60;false;false;0;0;
62;true;false;2;0;REQ003
64;true;false;2;0;
66;true;false;2;0;
69;false;true;2;0;
71;false;true;2;0;
73;true;false;2;0;
76;false;true;2;0;
