TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
337;1;0;79;2;0;REQ012
664;0;1;81;1;1;REQ009REQ004REQ010REQ002
979;0;2;81;3;3;REQ011REQ003
1314;1;0;80;2;0;REQ001REQ012
1601;0;2;80;2;3;REQ011
1914;1;1;79;2;0;REQ012
2165;1;0;80;2;0;
2410;1;0;79;2;0;
2654;1;0;80;2;0;
2883;1;0;81;0;0;REQ004
3189;1;0;80;2;0;REQ001
3508;1;1;81;1;1;REQ009REQ004REQ013REQ002
3743;1;2;79;2;3;REQ014REQ001
4035;1;0;81;0;0;REQ003REQ015REQ004
4280;0;2;79;2;3;REQ011REQ001
4503;1;0;81;0;0;REQ008REQ012REQ004
4757;0;1;79;2;1;REQ001REQ010
4993;1;2;80;2;0;REQ012
5242;1;2;80;2;0;
5488;1;2;81;0;0;REQ004
5784;0;1;80;2;1;REQ010REQ001
6032;1;0;79;2;0;REQ012
6340;0;1;81;1;1;REQ009REQ004REQ010REQ002
6645;0;2;81;3;3;REQ011REQ003
6884;0;0;81;3;3;REQ003
