TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
15;false;2;false;on ;low ;false;
40;false;4;false;on ;low ;false;
71;true;1;false;off ;low ;true;REQ005REQ009
96;true;1;false;off ;low ;true;
133;true;3;true;on ;low ;false;REQ006REQ010
177;false;10;false;off ;high ;false;REQ001REQ002REQ011
189;true;2;false;off ;low ;true;REQ004REQ003REQ010REQ005REQ009
203;true;8;true;on ;low ;false;REQ006REQ010
248;false;2;false;on ;low ;false;
294;true;6;false;off ;low ;true;REQ005REQ009
316;false;1;false;off ;low ;true;
328;false;6;true;on ;low ;false;REQ006REQ010
371;true;7;false;off ;low ;true;REQ005REQ009
402;true;5;false;off ;low ;true;
450;true;4;true;on ;low ;false;REQ006REQ010
484;true;5;true;on ;low ;false;
522;false;1;true;on ;low ;false;
561;true;3;true;on ;low ;false;
570;true;5;true;on ;low ;false;
613;false;11;true;off ;high ;false;REQ001REQ011REQ002
626;true;2;false;off ;low ;true;REQ004REQ005REQ003
642;true;2;true;on ;low ;false;REQ006REQ010
674;true;6;true;on ;low ;false;
686;true;6;false;on ;low ;false;
720;true;10;true;off ;high ;false;REQ001REQ002REQ011
766;true;6;true;on ;low ;false;REQ004REQ003REQ010
811;true;6;false;on ;low ;false;
832;false;11;true;off ;high ;false;REQ001REQ011REQ002
882;false;2;false;on ;low ;false;REQ004REQ003REQ010
911;true;1;true;on ;low ;false;
946;false;7;true;on ;low ;false;
987;false;2;false;on ;low ;false;
999;false;5;false;on ;low ;false;
1043;false;4;false;on ;low ;false;
1067;true;8;false;off ;low ;true;REQ005REQ009
1113;true;8;true;on ;low ;false;REQ006REQ010
