TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
20;false;3;false;on ;low ;false;
64;true;1;true;on ;low ;false;
101;true;8;false;on ;low ;false;
138;false;1;false;on ;low ;false;
154;true;9;true;off ;permitted ;false;REQ001REQ011
164;false;1;false;on ;low ;false;REQ003REQ010
193;true;7;false;off ;low ;true;REQ005REQ009
237;false;8;true;on ;low ;false;REQ006REQ010
280;false;4;true;on ;low ;false;
331;false;3;false;on ;low ;false;
340;false;10;false;off ;high ;false;REQ001REQ002REQ011
371;false;0;true;on ;low ;false;REQ004REQ003REQ010
387;false;10;true;off ;high ;false;REQ001REQ011REQ002
434;false;3;false;on ;low ;false;REQ004REQ003REQ010
481;true;0;false;off ;low ;true;REQ005REQ009
511;true;4;false;off ;low ;true;
545;true;10;false;off ;high ;false;REQ001REQ002REQ007
557;true;10;false;off ;high ;false;
584;false;4;true;on ;low ;false;REQ004REQ003REQ010
608;true;8;false;off ;low ;true;REQ005REQ009
625;true;6;true;on ;low ;false;REQ006REQ010
641;false;7;true;on ;low ;false;
683;true;10;false;off ;high ;false;REQ005REQ001REQ011REQ002REQ008
703;true;7;false;on ;low ;false;REQ004REQ003REQ010
745;false;2;false;on ;low ;false;
780;false;9;false;off ;permitted ;false;REQ001REQ011
812;true;7;false;off ;low ;true;REQ003REQ010REQ005REQ009
831;false;2;false;off ;low ;true;
865;false;0;false;off ;low ;true;
914;false;7;true;on ;low ;false;REQ006REQ010
925;true;7;true;on ;low ;false;
947;true;5;true;on ;low ;false;
963;true;6;false;on ;low ;false;
975;false;9;true;off ;permitted ;false;REQ001REQ011
1003;false;1;false;on ;low ;false;REQ003REQ010
1035;false;5;false;on ;low ;false;
