TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
324;1;2;79;2;0;REQ012
652;0;0;80;2;0;
879;1;0;81;0;0;REQ004REQ012
1130;0;0;79;2;0;REQ001
1462;1;2;81;0;0;REQ004REQ012
1803;0;1;79;2;1;REQ001REQ010
2034;0;2;81;3;3;REQ011REQ003
2316;0;0;80;2;3;REQ001
2637;1;0;79;2;0;REQ012
2942;0;0;79;2;0;
3262;0;1;80;2;1;REQ010
3526;1;1;81;0;0;REQ012REQ004
3827;1;0;79;2;0;REQ001
4156;0;2;79;2;3;REQ011
4378;0;2;81;3;3;REQ003
4637;1;1;80;2;0;REQ012REQ001
4895;1;2;80;2;3;REQ014
5128;1;1;79;2;1;REQ013
5397;1;2;80;2;3;REQ014
5687;1;2;79;2;3;
6018;0;0;79;2;3;
6345;0;0;81;3;3;REQ008REQ003
6627;0;1;80;2;1;REQ001REQ010
6894;0;2;81;3;3;REQ007REQ002REQ011REQ003
7192;0;2;79;2;3;REQ001
