TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
272;1;0;81;0;0;REQ005REQ012REQ004
535;0;2;80;2;3;REQ011REQ001
811;1;2;80;2;0;REQ012
1058;1;2;81;0;0;REQ009REQ004
1381;1;1;80;2;1;REQ013REQ001
1692;0;2;80;2;3;REQ011
1926;0;1;80;2;1;REQ010
2152;0;0;81;1;1;REQ002
2491;0;2;80;2;3;REQ001REQ011
2772;1;2;80;2;0;REQ012
3068;0;2;80;2;3;REQ017
3391;1;2;79;2;0;REQ012
3662;1;0;81;0;0;REQ004
3981;0;1;79;2;1;REQ001REQ010
4229;1;1;80;2;0;REQ012
4538;1;0;79;2;0;
4870;1;2;81;3;3;REQ014REQ003
5123;1;0;81;0;0;REQ003REQ015REQ004
5381;0;0;79;2;0;REQ001
5664;0;1;79;2;1;REQ010
5902;0;2;81;3;3;REQ007REQ011REQ003
6151;1;0;80;2;0;REQ001REQ012
6387;0;0;79;2;0;
6666;1;0;81;0;0;REQ004REQ012
6969;0;2;79;2;3;REQ011REQ001
