TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
282;0;0;79;2;2;
603;1;0;81;0;0;REQ005REQ012REQ004
842;1;2;79;2;3;REQ014REQ001
1147;0;1;80;2;1;REQ010
1463;0;2;79;2;3;REQ011
1762;0;2;79;2;3;
2079;0;1;81;1;1;REQ008REQ010REQ002
2367;1;0;80;2;0;REQ012REQ001
2663;1;2;79;2;3;REQ014
2999;0;0;81;3;3;REQ003
3318;1;2;80;2;0;REQ012REQ001
3617;0;0;79;2;0;
3909;0;0;79;2;0;
4180;0;2;80;2;3;REQ011
4424;1;0;81;0;0;REQ012REQ004
4731;1;0;80;2;0;REQ001
4955;0;2;79;2;3;REQ011
5236;1;1;81;0;0;REQ012REQ004
5491;1;0;81;0;0;REQ004
5751;1;0;81;0;0;REQ004
6072;1;0;80;2;0;REQ001
6371;1;0;81;0;0;REQ009REQ004
6643;1;1;79;2;1;REQ001REQ013
6905;0;2;79;2;3;REQ011
7138;0;2;81;3;3;REQ003
