TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;false;false;1;0;
4;false;true;0;0;REQ001
7;true;true;0;0;
10;true;false;0;0;
12;true;false;0;0;
15;false;true;0;0;
17;true;true;0;0;
19;false;true;0;0;
22;false;false;0;0;
24;true;false;3;0;REQ002
27;true;true;3;0;
29;false;false;3;0;
32;true;true;3;0;
34;true;false;1;1;REQ004
36;true;false;1;1;
38;false;false;1;1;
41;false;false;1;1;
44;false;false;1;1;
46;true;true;0;1;REQ001
49;false;true;0;1;
52;false;true;0;1;
55;false;true;0;1;
57;false;false;0;1;
60;false;true;0;1;
62;true;true;0;1;
64;false;true;0;1;
67;true;false;0;1;
70;false;false;0;1;
73;true;false;3;1;REQ002
75;false;false;3;1;
77;false;false;3;1;
79;false;true;3;1;
