TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
244;0;1;80;2;1;REQ010
512;0;2;81;3;3;REQ011REQ003
768;0;0;81;3;3;REQ003
1016;1;1;79;2;0;REQ012REQ001
1257;1;0;79;2;0;
1506;0;2;81;3;3;REQ004REQ011REQ003
1754;1;0;79;2;0;REQ001REQ012
1980;0;2;79;2;3;REQ011
2265;1;0;80;2;0;REQ012
2529;1;1;80;2;1;REQ013
2785;0;0;79;2;1;
3015;0;0;81;1;1;REQ007REQ002
3347;1;0;79;2;0;REQ001REQ012
3631;0;2;80;2;3;REQ011
3884;1;1;80;2;0;REQ012
4203;0;0;81;0;0;REQ004
4506;1;0;79;2;0;REQ001REQ012
4791;1;0;81;0;0;REQ004
5055;1;1;80;2;1;REQ001REQ013
5337;1;2;80;2;3;REQ014
5586;0;2;80;2;3;
5837;0;1;80;2;1;REQ010
6155;1;0;81;0;0;REQ002REQ012REQ004
6493;0;2;81;3;3;REQ011REQ003
6819;1;1;81;0;0;REQ012REQ004
