TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
253;0;1;80;2;1;REQ010
509;1;0;80;2;0;REQ012
777;0;2;79;2;3;REQ011
1041;0;1;80;2;1;REQ010
1353;0;0;80;2;1;
1640;1;1;81;0;0;REQ002REQ012REQ004
1968;0;2;79;2;3;REQ011REQ001
2287;0;0;79;2;3;
2609;1;2;80;2;0;REQ012
2913;1;0;80;2;0;
3195;1;2;79;2;3;REQ014
3522;0;1;81;1;1;REQ010REQ002
3762;0;2;81;3;3;REQ011REQ003
3991;0;1;81;1;1;REQ010REQ002
4282;1;2;79;2;0;REQ012REQ001
4543;1;2;81;0;0;REQ009REQ004
4871;0;2;79;2;3;REQ001REQ017
5202;0;0;81;3;3;REQ008REQ003
5539;0;1;80;2;1;REQ001REQ010
5863;0;0;81;1;1;REQ007REQ002
6156;1;0;81;0;0;REQ012REQ004
6493;1;0;80;2;0;REQ001
6784;0;2;80;2;3;REQ011
7076;0;0;80;2;3;
7302;1;0;81;0;0;REQ003REQ012REQ004
