TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
258;0;0;79;2;2;
490;0;0;80;2;2;
747;1;2;81;0;0;REQ005REQ012REQ004
1068;1;0;79;2;0;REQ001
1290;1;1;80;2;1;REQ013
1594;0;2;79;2;3;REQ011
1850;1;2;79;2;0;REQ012
2092;1;2;80;2;0;
2355;1;1;79;2;1;REQ013
2577;0;0;79;2;1;
2866;0;2;80;2;3;REQ011
3105;0;1;80;2;1;REQ010
3422;0;1;81;1;1;REQ002
3671;1;0;80;2;0;REQ001REQ012
3974;1;2;80;2;3;REQ014
4274;1;1;81;1;1;REQ013REQ002
4494;0;2;79;2;3;REQ011REQ001
4748;0;1;80;2;1;REQ010
5018;0;0;79;2;1;
5306;1;2;81;0;0;REQ007REQ002REQ012REQ004
5532;1;0;79;2;0;REQ001
5802;0;1;79;2;1;REQ010
6099;1;0;79;2;0;REQ012
6340;0;1;79;2;1;REQ010
6676;0;0;79;2;1;
