TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
285;1;1;80;2;0;REQ012
517;0;1;80;2;1;REQ016
750;1;0;81;0;0;REQ012REQ004
1050;1;1;81;1;1;REQ004REQ013REQ002
1334;1;2;79;2;3;REQ014REQ001
1647;0;0;80;2;3;
1920;0;1;80;2;1;REQ010
2193;1;0;80;2;0;REQ012
2444;0;2;79;2;3;REQ011
2674;1;1;79;2;0;REQ012
2905;0;1;81;1;1;REQ009REQ004REQ016REQ002
3182;0;0;79;2;1;REQ001
3486;0;0;81;1;1;REQ002
3781;1;1;79;2;0;REQ001REQ012
4118;0;0;81;0;0;REQ009REQ004
4416;1;1;80;2;0;REQ001REQ012
4676;0;0;81;0;0;REQ004
4926;1;0;79;2;0;REQ001REQ012
5235;0;1;81;1;1;REQ004REQ010REQ002
5482;1;0;80;2;0;REQ012REQ001
5709;0;0;79;2;0;
5989;0;1;80;2;1;REQ010
6278;1;1;81;0;0;REQ007REQ002REQ012REQ004
6566;0;0;81;0;0;REQ004
6846;1;2;79;2;0;REQ001REQ012
