TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;false;true;0;0;REQ001
5;true;true;0;0;
7;false;true;0;0;
9;false;false;0;0;
12;true;true;0;0;
14;false;true;0;0;
16;false;false;0;0;
18;true;false;3;0;REQ002
21;true;true;3;0;
23;false;true;3;0;
25;false;false;3;0;
27;true;false;3;0;
29;false;false;1;1;REQ004
31;false;true;0;1;REQ001
34;false;true;0;1;
36;true;false;0;1;
39;false;false;0;1;
42;true;true;0;1;
44;true;true;0;1;
46;false;true;0;1;
49;true;true;0;1;
52;false;true;0;1;
54;false;true;0;1;
56;true;false;0;1;
59;false;false;0;1;
62;true;true;0;1;
65;false;true;0;1;
68;true;false;0;1;
71;true;true;0;1;
74;true;true;0;1;
76;true;false;0;1;
79;false;false;0;1;
