TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
223;1;2;79;2;0;REQ012
504;0;0;80;2;0;
811;1;0;81;0;0;REQ004REQ012
1121;0;2;79;2;3;REQ001REQ011
1345;0;1;80;2;1;REQ010
1683;1;1;81;0;0;REQ012REQ004
1999;1;0;81;0;0;REQ004
2268;1;2;81;3;3;REQ004REQ014REQ003
2524;0;0;80;2;3;REQ001
2842;1;2;81;0;0;REQ012REQ004
3099;1;0;81;0;0;REQ004
3428;0;1;80;2;1;REQ010REQ001
3654;1;0;79;2;0;REQ012
3945;1;0;80;2;0;
4254;0;0;81;0;0;REQ009REQ004
4534;1;0;80;2;0;REQ012REQ001
4800;1;0;81;0;0;REQ009REQ004
5121;0;1;81;1;1;REQ010REQ002
5401;1;1;79;2;0;REQ001REQ012
5705;0;1;81;1;1;REQ016REQ002
6034;1;2;79;2;0;REQ001REQ012
6351;1;1;80;2;1;REQ013
6677;0;2;79;2;3;REQ011
6971;0;0;79;2;3;
7266;1;2;81;0;0;REQ003REQ012REQ004
