TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;false;false;1;0;
5;true;true;0;0;REQ001
8;false;true;0;0;
11;true;false;0;0;
13;false;true;0;0;
15;true;false;0;0;
17;false;false;0;0;
20;true;true;0;0;
22;true;false;0;0;
25;true;true;0;0;
28;false;true;0;0;
31;false;true;0;0;
34;true;true;0;0;
36;false;false;0;0;
39;true;false;2;0;REQ003
41;true;true;2;0;
44;false;true;2;0;
46;false;true;2;0;
49;false;true;2;0;
52;true;false;2;0;
55;true;false;2;0;
58;false;false;2;0;
60;true;false;2;0;
63;false;false;2;0;
66;true;false;2;0;
68;true;true;2;0;
70;false;true;1;0;REQ005
72;false;true;1;0;
74;true;false;1;0;
76;true;true;0;0;REQ001
78;true;false;0;0;
80;true;false;0;0;
