TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
237;0;1;79;2;1;REQ010
551;1;0;81;0;0;REQ012REQ004
833;0;2;80;2;3;REQ011REQ001
1084;1;2;79;2;0;REQ012
1303;0;1;81;1;1;REQ004REQ010REQ002
1576;1;0;80;2;0;REQ001REQ012
1809;0;2;80;2;3;REQ011
2069;0;2;80;2;3;
2376;1;0;80;2;0;REQ012
2659;1;1;81;1;1;REQ004REQ013REQ002
2961;1;1;79;2;1;REQ001
3282;1;0;79;2;0;REQ015
3599;0;2;79;2;3;REQ011
3857;1;2;81;0;0;REQ008REQ012REQ004
4122;0;2;80;2;3;REQ017REQ001
4437;1;2;80;2;0;REQ012
4699;0;1;80;2;1;REQ010
4955;1;2;80;2;0;REQ012
5262;1;1;81;1;1;REQ004REQ013REQ002
5548;0;0;80;2;1;REQ001
5884;1;0;80;2;0;REQ012
6125;1;1;79;2;1;REQ013
6423;0;1;81;1;1;REQ007REQ002
6745;0;1;79;2;1;REQ001
7004;1;1;80;2;0;REQ012
