TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
318;0;1;81;1;1;REQ010REQ002
626;0;2;79;2;3;REQ011REQ001
865;0;1;81;1;1;REQ010REQ002
1118;1;0;79;2;0;REQ012REQ001
1413;1;0;81;0;0;REQ009REQ004
1720;0;0;81;0;0;REQ004
2014;1;2;81;0;0;REQ004REQ012
2244;1;1;81;1;1;REQ013REQ002
2473;1;1;81;1;1;REQ002
2774;1;1;81;1;1;REQ002
3026;0;0;80;2;1;REQ001
3318;0;2;81;3;3;REQ011REQ003
3597;1;0;80;2;0;REQ001REQ012
3920;0;1;80;2;1;REQ010
4210;1;1;80;2;0;REQ012
4551;1;1;81;0;0;REQ009REQ004
4889;1;1;79;2;0;REQ001
5149;0;1;81;1;1;REQ009REQ004REQ016REQ002
5372;0;1;81;1;1;REQ002
5680;0;1;80;2;1;REQ001
6002;0;2;81;3;3;REQ002REQ011REQ003
6254;0;0;80;2;3;REQ001
6549;0;2;79;2;3;REQ011
6857;0;2;79;2;3;
7161;1;1;81;0;0;REQ008REQ012REQ004
