TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
22;false;3;false;on ;low ;false;
73;true;10;true;off ;high ;false;REQ001REQ002REQ011
91;false;2;false;on ;low ;false;REQ004REQ003REQ010
116;true;10;false;off ;high ;false;REQ005REQ001REQ011REQ002REQ008
128;false;5;true;on ;low ;false;REQ004REQ003REQ010
163;false;1;false;on ;low ;false;
179;false;9;true;off ;permitted ;false;REQ001REQ011
203;true;10;true;off ;high ;false;REQ002
230;false;3;true;on ;low ;false;REQ004REQ003REQ010
253;true;0;true;on ;low ;false;
286;false;9;false;off ;permitted ;false;REQ001REQ011
329;false;10;false;off ;high ;false;REQ002
378;false;3;true;on ;low ;false;REQ004REQ003REQ010
390;true;8;false;off ;low ;true;REQ005REQ009
437;true;9;false;off ;permitted ;true;REQ001
470;true;3;false;off ;low ;true;REQ003
506;true;11;true;off ;high ;false;REQ006REQ010REQ001REQ002REQ011
521;false;1;true;on ;low ;false;REQ004REQ003REQ010
571;false;1;false;on ;low ;false;
590;true;1;true;on ;low ;false;
640;true;2;true;on ;low ;false;
653;false;2;true;on ;low ;false;
689;true;7;true;on ;low ;false;
730;false;3;true;on ;low ;false;
757;true;7;false;off ;low ;true;REQ005REQ009
787;false;11;true;off ;high ;false;REQ006REQ001REQ002
801;false;3;false;on ;low ;false;REQ004REQ003REQ010
831;false;0;true;on ;low ;false;
844;false;11;false;off ;high ;false;REQ001REQ011REQ002
867;false;5;false;on ;low ;false;REQ004REQ003REQ010
895;true;6;false;off ;low ;true;REQ005REQ009
932;false;9;false;off ;permitted ;true;REQ001
962;true;4;true;on ;low ;false;REQ003REQ006REQ010
1000;false;8;true;on ;low ;false;
1016;true;10;true;off ;high ;false;REQ001REQ011REQ002
1028;false;0;false;on ;low ;false;REQ004REQ003REQ010
