TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
287;1;1;79;2;0;REQ012
573;0;1;80;2;1;REQ016
913;0;0;80;2;1;
1244;1;0;81;0;0;REQ012REQ004
1569;0;1;79;2;1;REQ010REQ001
1858;0;2;80;2;3;REQ011
2102;0;1;81;1;1;REQ010REQ002
2348;0;1;79;2;1;REQ001
2672;1;0;81;0;0;REQ012REQ004
2947;1;2;81;3;3;REQ014REQ003
3197;1;1;81;1;1;REQ003REQ013REQ002
3532;0;2;80;2;3;REQ001REQ011
3780;0;0;80;2;3;
4072;0;0;80;2;3;
4378;1;0;81;0;0;REQ003REQ012REQ004
4630;0;1;81;1;1;REQ010REQ002
4950;0;1;80;2;1;REQ001
5288;0;2;81;3;3;REQ002REQ011REQ003
5545;1;0;81;0;0;REQ012REQ004
5824;0;2;79;2;3;REQ001REQ011
6165;0;0;79;2;3;
6476;0;2;80;2;3;REQ011
6805;1;1;81;0;0;REQ012REQ004
7030;0;1;80;2;1;REQ001REQ016
7329;0;0;81;1;1;REQ002
