TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
287;1;1;79;2;0;REQ012
566;0;0;79;2;0;
787;1;2;80;2;0;REQ012
1065;0;2;79;2;3;REQ017
1301;1;1;80;2;0;REQ012
1638;0;2;81;3;3;REQ011REQ003
1931;1;0;79;2;0;REQ001REQ012
2255;1;0;81;0;0;REQ009REQ004
2559;1;1;79;2;1;REQ001REQ013
2847;1;2;81;3;3;REQ002REQ014REQ003
3184;0;0;81;3;3;REQ003
3447;1;0;79;2;0;REQ001REQ012
3701;0;0;79;2;0;
3973;1;2;81;0;0;REQ004REQ012
4245;0;2;80;2;3;REQ017REQ001
4479;0;2;81;3;3;REQ008REQ003
4736;1;2;81;0;0;REQ003REQ012REQ004
5065;0;1;79;2;1;REQ001REQ010
5291;1;0;80;2;0;REQ012
5574;0;1;79;2;1;REQ010
5915;1;0;80;2;0;REQ012
6222;0;1;80;2;1;REQ010
6468;1;0;80;2;0;REQ012
6760;0;2;80;2;3;REQ011
7058;0;0;79;2;3;
