TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
17;false;2;true;on ;low ;false;
61;false;0;true;on ;low ;false;
91;false;9;false;off ;permitted ;false;REQ001REQ011
116;true;2;true;on ;low ;false;REQ003REQ010
153;false;4;true;on ;low ;false;
168;true;3;false;off ;low ;true;REQ005REQ009
187;false;11;true;off ;high ;false;REQ001REQ002REQ008
213;false;4;true;on ;low ;false;REQ004REQ003REQ010
253;false;2;true;on ;low ;false;
289;false;4;false;on ;low ;false;
323;false;0;true;on ;low ;false;
366;true;0;true;on ;low ;false;
413;false;2;false;on ;low ;false;
427;false;1;true;on ;low ;false;
453;false;3;false;on ;low ;false;
503;false;2;false;on ;low ;false;
519;true;7;true;on ;low ;false;
545;false;9;false;off ;permitted ;false;REQ001REQ011
589;false;8;false;on ;low ;false;REQ003REQ010
639;true;9;true;off ;permitted ;false;REQ001REQ011
658;true;4;true;on ;low ;false;REQ003REQ010
688;false;8;false;on ;low ;false;
727;false;5;false;on ;low ;false;
748;false;8;false;on ;low ;false;
759;false;4;true;on ;low ;false;
777;false;11;true;off ;high ;false;REQ001REQ002REQ011
795;true;6;false;off ;low ;true;REQ004REQ005REQ003
845;true;10;true;off ;high ;false;REQ001REQ002REQ008
865;false;10;false;off ;high ;false;
904;false;2;false;on ;low ;false;REQ004REQ003REQ010
928;false;7;false;on ;low ;false;
948;false;6;true;on ;low ;false;
987;false;11;false;off ;high ;false;REQ001REQ011REQ002
1013;true;5;true;on ;low ;false;REQ004REQ003REQ010
1042;true;2;false;on ;low ;false;
1064;false;11;true;off ;high ;false;REQ001REQ002REQ011
