TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;true;false;1;0;
6;false;true;0;0;REQ001
8;false;false;0;0;
10;false;true;0;0;
12;true;false;0;0;
15;false;true;0;0;
18;true;false;0;0;
20;false;true;0;0;
22;false;true;0;0;
25;false;false;0;0;
27;false;false;0;0;
30;false;true;0;0;
33;false;true;0;0;
36;false;true;0;0;
38;false;false;0;0;
40;false;false;0;0;
42;false;false;0;0;
45;false;true;0;0;
47;false;false;0;0;
50;true;false;2;0;REQ003
53;true;true;2;0;
55;true;false;2;0;
58;false;true;2;0;
61;false;true;2;0;
63;true;true;2;0;
66;false;true;2;0;
68;false;true;2;0;
70;false;false;2;0;
73;true;true;2;0;
75;false;false;2;0;
78;true;false;2;0;
81;true;false;1;0;REQ005
