TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
39;false;9;true;off ;permitted ;false;REQ001REQ011
56;true;7;true;on ;low ;false;REQ003REQ010
90;true;7;false;on ;low ;false;
110;false;11;true;off ;high ;false;REQ001REQ011REQ002
121;false;2;false;on ;low ;false;REQ004REQ003REQ010
131;false;5;false;on ;low ;false;
178;false;6;false;on ;low ;false;
225;false;6;true;on ;low ;false;
264;false;4;false;on ;low ;false;
305;true;5;false;off ;low ;true;REQ005REQ009
328;false;7;false;off ;low ;true;
379;false;3;true;on ;low ;false;REQ006REQ010
405;true;8;false;off ;low ;true;REQ005REQ009
419;false;0;true;on ;low ;false;REQ006REQ010
448;false;7;true;on ;low ;false;
459;true;0;false;off ;low ;true;REQ005REQ009
486;true;7;false;off ;low ;true;
513;false;4;true;on ;low ;false;REQ006REQ010
559;true;0;true;on ;low ;false;
599;false;4;false;on ;low ;false;
631;false;3;true;on ;low ;false;
676;true;4;true;on ;low ;false;
700;false;4;true;on ;low ;false;
735;true;6;true;on ;low ;false;
754;true;0;true;on ;low ;false;
789;false;0;true;on ;low ;false;
804;false;5;false;on ;low ;false;
829;false;5;true;on ;low ;false;
859;false;10;true;off ;high ;false;REQ001REQ011REQ002
909;true;3;true;on ;low ;false;REQ004REQ003REQ010
931;true;11;true;off ;high ;false;REQ001REQ011REQ002
978;false;5;false;on ;low ;false;REQ004REQ003REQ010
987;false;9;true;off ;permitted ;false;REQ001REQ011
1020;true;0;false;off ;low ;true;REQ005REQ003
1066;false;6;false;off ;low ;true;
1082;true;2;false;off ;low ;true;
