TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
295;0;1;80;2;1;REQ010
593;1;1;81;0;0;REQ012REQ004
879;1;2;79;2;3;REQ014REQ001
1201;1;0;80;2;0;REQ015
1442;0;2;79;2;3;REQ011
1751;1;1;81;0;0;REQ012REQ004
2006;0;1;79;2;1;REQ001REQ016
2305;1;0;79;2;0;REQ012
2601;1;0;79;2;0;
2851;0;0;81;0;0;REQ004
3171;0;2;80;2;3;REQ011REQ001
3434;0;2;79;2;3;
3663;1;1;81;0;0;REQ012REQ004
3940;0;2;81;3;3;REQ004REQ011REQ003
4232;0;1;81;1;1;REQ003REQ010REQ002
4537;1;2;80;2;0;REQ012REQ001
4778;0;2;80;2;3;REQ017
5046;0;0;81;3;3;REQ008REQ003
5282;1;2;81;0;0;REQ012REQ004
5546;0;1;81;1;1;REQ010REQ002
5884;0;2;81;3;3;REQ011REQ003
6187;1;1;80;2;0;REQ012REQ001
6528;0;2;79;2;3;REQ011
6860;0;0;79;2;3;
7193;1;1;80;2;0;REQ012
