TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
222;0;2;80;2;3;REQ011
553;0;0;79;2;3;
890;1;0;81;0;0;REQ003REQ012REQ004
1172;1;1;81;1;1;REQ004REQ013REQ002
1504;0;1;81;1;1;REQ002
1839;0;2;80;2;3;REQ001REQ011
2161;1;0;81;0;0;REQ012REQ004
2408;1;2;80;2;3;REQ001REQ014
2745;0;0;80;2;3;
3064;1;0;79;2;0;REQ012
3369;1;2;79;2;3;REQ014
3603;1;2;79;2;3;
3943;1;0;80;2;0;REQ015
4240;0;1;81;1;1;REQ010REQ002
4539;1;0;80;2;0;REQ012REQ001
4872;1;1;80;2;1;REQ013
5140;0;1;79;2;1;
5458;0;1;81;1;1;REQ002
5709;0;1;80;2;1;REQ001
6027;1;1;81;0;0;REQ012REQ004
6293;1;2;81;3;3;REQ004REQ014REQ003
6520;0;1;80;2;1;REQ001REQ010
6846;0;1;81;1;1;REQ002
7098;1;2;79;2;0;REQ012REQ001
7404;1;2;79;2;0;
