TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
15;false;2;true;on ;low ;false;
48;false;4;true;on ;low ;false;
93;false;5;true;on ;low ;false;
126;false;11;true;off ;high ;false;REQ001REQ011REQ002
172;true;3;true;on ;low ;false;REQ004REQ003REQ010
202;false;3;false;on ;low ;false;
218;false;8;true;on ;low ;false;
241;true;10;false;off ;high ;false;REQ001REQ005REQ011REQ002REQ007
285;false;7;true;on ;low ;false;REQ004REQ003REQ010
300;true;2;false;off ;low ;true;REQ005REQ009
340;true;10;false;off ;high ;false;REQ001REQ002REQ008
359;false;6;true;on ;low ;false;REQ004REQ003REQ010
384;true;11;false;off ;high ;false;REQ005REQ001REQ011REQ002REQ008
401;true;10;false;off ;high ;false;
442;false;0;true;on ;low ;false;REQ004REQ003REQ010
486;true;8;true;on ;low ;false;
505;true;11;true;off ;high ;false;REQ001REQ002REQ011
527;false;0;true;on ;low ;false;REQ004REQ003REQ010
553;true;3;false;off ;low ;true;REQ005REQ009
582;true;0;true;on ;low ;false;REQ006REQ010
604;false;0;false;on ;low ;false;
616;false;1;false;on ;low ;false;
649;false;0;false;on ;low ;false;
660;true;0;true;on ;low ;false;
708;true;6;false;on ;low ;false;
732;true;1;false;on ;low ;false;
751;false;9;true;off ;permitted ;false;REQ001REQ011
785;true;9;true;off ;permitted ;false;
804;true;7;false;on ;low ;false;REQ003REQ010
845;true;0;false;on ;low ;false;
863;true;2;true;on ;low ;false;
877;true;3;false;on ;low ;false;
894;true;10;true;off ;high ;false;REQ001REQ002REQ011
931;false;4;true;on ;low ;false;REQ004REQ003REQ010
973;false;3;true;on ;low ;false;
986;true;4;true;on ;low ;false;
