TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
318;0;0;81;2;2;REQ005
633;1;1;81;0;0;REQ005REQ012REQ004
927;0;0;80;2;0;REQ001
1232;1;0;80;2;0;REQ012
1533;1;0;81;0;0;REQ009REQ004
1774;1;2;81;3;3;REQ014REQ003
2026;0;2;80;2;3;REQ001
2328;1;2;79;2;0;REQ012
2552;1;0;81;0;0;REQ009REQ004
2875;1;0;80;2;0;REQ001
3207;1;0;81;0;0;REQ009REQ004
3547;0;1;80;2;1;REQ001REQ010
3817;0;2;79;2;3;REQ011
4045;1;2;80;2;0;REQ012
4271;1;1;81;1;1;REQ013REQ002
4579;1;0;79;2;0;REQ001REQ015
4817;1;0;81;0;0;REQ009REQ004
5155;0;2;79;2;3;REQ011REQ001
5424;0;2;80;2;3;
5722;1;2;81;0;0;REQ012REQ004
5986;0;1;80;2;1;REQ010REQ001
6308;1;0;79;2;0;REQ012
6556;1;0;81;0;0;REQ009REQ004
6795;0;2;79;2;3;REQ001REQ011
7026;1;2;80;2;0;REQ012
