TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
271;0;0;79;2;2;
547;1;0;80;2;0;REQ012
816;0;1;80;2;1;REQ010
1103;1;0;79;2;0;REQ012
1351;1;2;79;2;3;REQ014
1633;1;1;79;2;1;REQ013
1899;1;1;80;2;1;
2177;1;0;80;2;0;REQ015
2482;0;0;81;0;0;REQ004
2715;1;2;79;2;0;REQ012REQ001
2980;0;1;81;1;1;REQ004REQ010REQ002
3289;0;0;81;1;1;REQ002
3550;1;1;80;2;0;REQ012REQ001
3859;0;1;81;1;1;REQ009REQ016REQ002
4138;1;2;79;2;0;REQ001REQ012
4446;0;0;81;0;0;REQ009REQ004
4758;0;1;79;2;1;REQ010REQ001
5080;0;1;79;2;1;
5410;0;0;80;2;1;
5644;1;2;81;0;0;REQ012REQ004
5916;1;0;81;0;0;REQ004
6235;1;1;79;2;1;REQ001REQ013
6471;0;0;80;2;1;
6709;0;2;79;2;3;REQ011
7004;1;1;80;2;0;REQ012
