TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;true;false;1;0;
4;true;true;0;0;REQ001
6;true;true;0;0;
9;false;true;0;0;
12;true;false;0;0;
15;true;false;0;0;
17;false;false;0;0;
19;false;false;0;0;
21;true;false;3;0;REQ002
24;true;false;3;0;
27;true;false;3;0;
29;true;false;3;0;
32;false;true;0;1;REQ004REQ001
35;false;true;0;1;
37;false;true;0;1;
39;false;false;0;1;
42;true;true;0;1;
45;true;false;0;1;
48;true;false;0;1;
51;false;false;0;1;
53;true;false;3;1;REQ002
56;true;false;3;1;
58;false;true;3;1;
60;true;false;3;1;
62;false;true;3;1;
64;true;false;1;1;REQ004
67;false;true;0;1;REQ001
70;false;true;0;1;
73;false;false;0;1;
76;false;false;0;1;
79;false;false;0;1;
81;false;false;0;1;
