TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
228;0;1;80;2;1;REQ010
544;0;0;79;2;1;
839;1;1;81;0;0;REQ007REQ002REQ012REQ004
1072;1;1;81;0;0;REQ004
1377;0;1;81;1;1;REQ004REQ016REQ002
1685;1;0;79;2;0;REQ012REQ001
1909;0;2;79;2;3;REQ011
2150;0;0;80;2;3;
2447;1;1;80;2;0;REQ012
2683;0;2;80;2;3;REQ011
2959;0;0;79;2;3;
3184;0;1;80;2;1;REQ010
3486;1;2;81;0;0;REQ007REQ002REQ012REQ004
3819;0;0;79;2;0;REQ001
4131;0;1;80;2;1;REQ010
4379;1;1;81;0;0;REQ007REQ002REQ012REQ004
4645;0;2;81;3;3;REQ004REQ011REQ003
4928;1;1;81;0;0;REQ003REQ012REQ004
5193;1;2;81;3;3;REQ014REQ003
5481;0;1;80;2;1;REQ001REQ010
5773;0;0;80;2;1;
6003;0;0;79;2;1;
6293;0;0;79;2;1;
6565;0;1;81;1;1;REQ007REQ002REQ010
6803;0;2;80;2;3;REQ011REQ001
