TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
21;true;false;false;false;4;REQ005
42;true;false;false;false;4;REQ005
89;false;true;true;false;5;REQ007
131;true;true;true;true;5;REQ008
165;false;false;false;false;3;REQ004
177;false;false;true;false;2;REQ003
208;false;false;false;true;1;REQ002
220;true;true;false;false;1;
230;false;true;false;false;5;REQ007
268;false;true;true;true;5;REQ007
292;true;true;false;false;5;REQ008
337;true;false;true;false;4;REQ005
353;false;false;false;false;3;REQ004
382;true;true;true;false;3;
409;false;true;false;true;5;REQ007
459;false;false;false;true;1;REQ002
503;true;false;false;false;4;REQ005
550;false;true;true;false;5;REQ007
581;true;false;true;true;4;REQ005
626;false;false;false;true;1;REQ002
637;true;false;true;true;4;REQ005
658;false;false;true;false;2;REQ003
700;true;false;true;true;4;REQ005
742;true;false;false;false;4;REQ005
783;false;false;false;false;3;REQ004
