TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
314;0;2;79;2;3;REQ011
533;0;2;80;2;3;
796;0;0;81;3;3;REQ008REQ003
1098;0;0;79;2;3;REQ001
1417;0;0;81;3;3;REQ008REQ003
1678;1;0;80;2;0;REQ012REQ001
2016;1;2;80;2;3;REQ014
2258;1;0;79;2;0;REQ015
2539;1;1;81;1;1;REQ004REQ013REQ002
2836;1;1;79;2;1;REQ001
3146;1;1;79;2;1;
3375;0;1;80;2;1;
3687;1;2;80;2;0;REQ012
4023;0;0;80;2;0;
4255;0;2;80;2;3;REQ011
4574;0;0;79;2;3;
4800;1;1;79;2;0;REQ012
5111;0;2;80;2;3;REQ011
5393;1;0;79;2;0;REQ012
5714;0;0;81;0;0;REQ009REQ004
5969;0;0;79;2;0;REQ001
6263;0;2;80;2;3;REQ011
6545;0;0;80;2;3;
6810;0;2;81;3;3;REQ008REQ003REQ011
7092;1;1;81;0;0;REQ012REQ004
