TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
10;true;false;true;false;4;REQ005
56;false;false;true;false;2;REQ003
70;true;false;false;false;4;REQ005
117;false;true;false;false;5;REQ007
154;true;false;true;true;4;REQ005
198;false;true;false;false;5;REQ007
221;true;true;false;false;5;REQ008
263;true;true;false;true;5;
286;true;true;false;true;5;
308;true;false;true;false;4;REQ005
328;true;false;true;false;4;REQ005
349;false;false;false;false;3;REQ004
375;false;true;false;true;5;REQ007
389;true;false;false;true;4;REQ005
402;false;true;false;true;5;REQ007
435;false;false;true;true;0;REQ001
475;true;true;false;false;0;
486;false;false;true;true;0;REQ001
535;true;false;false;true;4;REQ005
572;true;false;false;true;4;REQ005
586;true;false;true;true;4;REQ005
628;false;true;false;false;5;REQ007
646;false;true;true;true;5;REQ007
692;true;true;true;true;5;REQ008
736;true;false;true;false;4;REQ005
