TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
314;0;2;79;2;3;REQ011
637;1;0;81;0;0;REQ003REQ012REQ004
943;1;1;81;1;1;REQ013REQ002
1176;0;1;80;2;1;REQ001
1488;1;2;81;0;0;REQ012REQ004
1739;0;1;80;2;1;REQ001REQ010
2058;0;2;81;3;3;REQ011REQ003
2398;0;2;79;2;3;REQ001
2645;1;1;81;0;0;REQ008REQ012REQ004
2974;0;1;80;2;1;REQ016REQ001
3286;1;0;80;2;0;REQ012
3614;1;2;79;2;3;REQ014
3864;0;2;79;2;3;
4204;1;0;80;2;0;REQ012
4445;1;2;79;2;3;REQ014
4756;0;2;79;2;3;
5010;0;0;80;2;3;
5270;1;0;81;0;0;REQ012REQ004
5552;0;0;80;2;0;REQ001
5798;1;1;80;2;0;REQ012
6047;1;2;80;2;3;REQ014
6294;0;2;79;2;3;
6615;1;2;81;0;0;REQ003REQ012REQ004
6902;0;1;81;1;1;REQ010REQ002
7221;0;0;79;2;1;REQ001
