TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
22;false;false;true;true;0;REQ001
63;false;true;true;false;5;REQ007
76;false;false;true;true;0;REQ001
118;false;false;true;true;0;REQ001
138;false;false;false;false;3;REQ004
176;true;true;true;false;3;
199;true;true;false;false;3;
246;true;false;true;true;4;REQ005
258;false;true;true;false;5;REQ007
272;false;false;true;true;0;REQ001
289;false;false;true;true;0;REQ001
308;true;true;true;true;0;
344;false;true;false;true;5;REQ007
389;true;false;true;false;4;REQ005
415;true;false;false;false;4;REQ005
448;true;true;true;true;4;REQ006
499;false;false;true;false;2;REQ003
525;true;false;false;false;4;REQ005
542;true;false;true;true;4;REQ005
591;true;false;true;false;4;REQ005
625;false;true;true;true;5;REQ007
650;false;false;false;false;3;REQ004
685;true;false;true;false;4;REQ005
705;true;false;true;false;4;REQ005
731;true;false;false;false;4;REQ005
