TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;true;true;0;0;REQ001
4;false;true;0;0;
7;false;false;0;0;
9;false;false;0;0;
12;true;false;3;0;REQ002
14;true;true;3;0;
17;false;false;3;0;
20;true;false;3;0;
22;false;true;0;1;REQ004REQ001
24;false;false;0;1;
27;true;true;0;1;
30;false;true;0;1;
32;false;true;0;1;
35;true;true;0;1;
38;true;true;0;1;
41;true;false;0;1;
43;true;true;0;1;
46;false;false;0;1;
49;false;false;0;1;
51;true;false;3;1;REQ002
53;true;true;3;1;
56;false;true;3;1;
59;false;true;3;1;
61;true;false;1;1;REQ004
64;true;false;1;1;
67;true;false;1;1;
69;true;false;1;1;
72;true;false;1;1;
75;false;false;1;1;
77;true;true;0;1;REQ001
80;true;false;0;1;
83;false;true;0;1;
