TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
332;0;0;79;2;2;
565;1;2;81;0;0;REQ012REQ004
831;0;2;80;2;3;REQ017REQ001
1137;0;0;81;3;3;REQ003
1415;1;2;80;2;0;REQ001REQ012
1663;0;2;81;3;3;REQ017REQ003
1940;1;2;81;0;0;REQ003REQ012REQ004
2225;0;1;80;2;1;REQ010REQ001
2483;1;2;81;0;0;REQ007REQ012REQ004
2736;0;2;79;2;3;REQ001REQ017
3020;1;1;81;0;0;REQ012REQ004
3359;0;0;80;2;0;REQ001
3627;0;2;79;2;3;REQ011
3945;0;0;80;2;3;
4179;1;0;79;2;0;REQ012
4475;1;2;81;3;3;REQ004REQ014REQ003
4798;1;0;81;0;0;REQ003REQ015REQ004
5036;0;2;80;2;3;REQ011REQ001
5364;0;1;79;2;1;REQ010
5640;0;0;80;2;1;
5913;1;0;79;2;0;REQ012
6175;1;0;79;2;0;
6471;1;0;79;2;0;
6713;1;2;81;3;3;REQ009REQ004REQ014REQ003
6962;0;1;80;2;1;REQ001REQ010
