TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
42;true;9;false;off ;permitted ;true;REQ001REQ005REQ011
52;true;3;false;off ;low ;true;REQ003
71;true;8;true;on ;low ;false;REQ006REQ010
119;true;0;true;on ;low ;false;
156;false;8;false;on ;low ;false;
175;false;6;true;on ;low ;false;
190;true;8;false;off ;low ;true;REQ005REQ009
232;false;9;true;off ;permitted ;false;REQ001REQ006
263;false;3;false;on ;low ;false;REQ003REQ010
277;false;2;true;on ;low ;false;
287;true;5;false;off ;low ;true;REQ005REQ009
309;false;0;true;on ;low ;false;REQ006REQ010
329;false;9;false;off ;permitted ;false;REQ001REQ011
362;false;4;false;on ;low ;false;REQ003REQ010
372;false;0;true;on ;low ;false;
415;false;4;false;on ;low ;false;
449;true;5;false;off ;low ;true;REQ005REQ009
475;false;11;true;off ;high ;false;REQ001REQ002REQ008
522;true;1;false;off ;low ;true;REQ004REQ003REQ010REQ005REQ009
542;false;7;true;on ;low ;false;REQ006REQ010
557;false;10;true;off ;high ;false;REQ001REQ011REQ002
566;false;6;true;on ;low ;false;REQ004REQ003REQ010
584;false;4;false;on ;low ;false;
631;false;0;false;on ;low ;false;
678;false;1;false;on ;low ;false;
689;true;5;false;off ;low ;true;REQ005REQ009
706;false;3;true;on ;low ;false;REQ006REQ010
729;true;10;false;off ;high ;false;REQ001REQ005REQ002REQ007REQ011
765;false;5;false;on ;low ;false;REQ004REQ003REQ010
792;true;5;false;off ;low ;true;REQ005REQ009
830;false;5;true;on ;low ;false;REQ006REQ010
853;true;6;true;on ;low ;false;
884;false;8;false;on ;low ;false;
917;true;10;false;off ;high ;false;REQ005REQ009REQ001REQ002REQ007
959;true;11;true;off ;high ;false;
987;true;9;true;off ;permitted ;false;REQ004
