TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
38;true;true;true;true;3;
48;true;true;true;true;3;
75;true;false;true;true;4;REQ005
124;false;true;false;false;5;REQ007
136;false;false;true;false;2;REQ003
166;true;true;false;true;2;
180;false;true;false;false;5;REQ007
203;false;true;false;false;5;REQ007
212;true;false;false;true;4;REQ005
261;true;false;false;true;4;REQ005
285;false;false;false;false;3;REQ004
311;false;true;false;false;5;REQ007
320;false;false;true;false;2;REQ003
363;false;false;false;true;1;REQ002
378;false;false;false;false;3;REQ004
423;false;true;false;false;5;REQ007
450;false;true;true;true;5;REQ007
462;false;true;true;true;5;REQ007
489;true;true;true;false;5;REQ008
505;true;false;false;true;4;REQ005
532;false;false;true;true;0;REQ001
579;true;false;true;true;4;REQ005
609;true;false;true;false;4;REQ005
618;false;true;false;true;5;REQ007
665;true;true;true;false;5;REQ008
