TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
49;false;3;true;on ;low ;false;
84;true;1;true;on ;low ;false;
115;false;0;false;on ;low ;false;
138;true;5;true;on ;low ;false;
158;false;3;true;on ;low ;false;
170;true;9;false;off ;permitted ;true;REQ005REQ009REQ001
206;true;10;true;off ;high ;false;REQ006REQ002
224;true;1;false;on ;low ;false;REQ004REQ003REQ010
240;false;3;true;on ;low ;false;
262;true;11;true;off ;high ;false;REQ001REQ002REQ011
279;false;6;false;on ;low ;false;REQ004REQ003REQ010
309;false;10;false;off ;high ;false;REQ001REQ011REQ002
344;true;0;false;off ;low ;true;REQ004REQ005REQ003
381;true;5;false;off ;low ;true;
393;false;7;true;on ;low ;false;REQ006REQ010
425;true;9;true;off ;permitted ;false;REQ001REQ011
435;false;3;true;on ;low ;false;REQ003REQ010
474;true;8;true;on ;low ;false;
488;false;8;true;on ;low ;false;
531;false;9;false;off ;permitted ;false;REQ001REQ011
568;true;3;false;off ;low ;true;REQ003REQ005
584;false;0;true;on ;low ;false;REQ006REQ010
599;true;4;false;off ;low ;true;REQ005REQ009
623;true;11;true;off ;high ;false;REQ006REQ010REQ001REQ002REQ011
658;false;6;true;on ;low ;false;REQ004REQ003REQ010
704;false;10;true;off ;high ;false;REQ001REQ002REQ011
743;true;5;false;off ;low ;true;REQ004REQ003REQ005
779;true;7;false;off ;low ;true;
791;false;11;true;off ;high ;false;REQ006REQ010REQ001REQ011REQ002
816;true;11;true;off ;high ;false;
863;true;4;false;on ;low ;false;REQ004REQ003REQ010
904;true;0;false;on ;low ;false;
928;false;1;true;on ;low ;false;
965;false;5;true;on ;low ;false;
991;false;11;true;off ;high ;false;REQ001REQ002REQ011
1031;true;2;true;on ;low ;false;REQ004REQ003REQ010
