TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
22;true;true;true;true;3;
65;false;false;false;false;3;REQ004
84;false;true;false;true;5;REQ007
110;true;true;true;false;5;REQ008
160;false;false;true;true;0;REQ001
172;true;true;true;false;0;
218;false;true;true;false;5;REQ007
265;true;true;false;true;5;REQ008
294;false;false;true;false;2;REQ003
304;false;false;false;false;3;REQ004
322;false;true;true;true;5;REQ007
333;true;true;false;false;5;REQ008
343;true;false;true;true;4;REQ005
354;true;false;false;true;4;REQ005
401;true;false;true;true;4;REQ005
435;false;false;false;true;1;REQ002
455;true;true;false;false;1;
501;false;true;false;false;5;REQ007
536;false;true;true;true;5;REQ007
587;false;true;false;true;5;REQ007
620;false;false;true;true;0;REQ001
666;true;false;true;true;4;REQ005
684;false;false;false;true;1;REQ002
721;true;true;true;false;1;
758;true;false;false;false;4;REQ005
