TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;false;true;0;0;REQ001
6;true;true;0;0;
8;true;true;0;0;
10;false;true;0;0;
13;false;false;0;0;
15;false;true;0;0;
17;true;false;0;0;
19;false;true;0;0;
22;false;false;0;0;
24;true;false;3;0;REQ002
26;true;false;3;0;
29;true;true;3;0;
32;true;true;3;0;
34;false;true;1;1;REQ004
37;false;true;1;1;
39;false;false;1;1;
42;false;false;1;1;
44;true;true;0;1;REQ001
46;true;false;0;1;
48;true;true;0;1;
50;true;true;0;1;
52;false;true;0;1;
55;false;true;0;1;
57;false;false;0;1;
59;true;true;0;1;
61;false;true;0;1;
63;true;true;0;1;
66;true;true;0;1;
68;false;false;0;1;
71;true;true;0;1;
74;true;false;0;1;
77;false;false;0;1;
