TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
227;1;2;79;2;0;REQ012
558;1;1;79;2;1;REQ013
790;1;1;80;2;1;
1097;0;0;79;2;1;
1378;0;0;79;2;1;
1615;1;0;80;2;0;REQ012
1922;1;1;81;1;1;REQ013REQ002
2261;0;2;80;2;3;REQ011REQ001
2530;0;2;79;2;3;
2793;1;1;81;0;0;REQ012REQ004
3020;1;1;80;2;0;REQ001
3297;1;2;80;2;3;REQ014
3544;1;1;81;1;1;REQ013REQ002
3871;0;2;81;3;3;REQ011REQ003
4148;0;0;81;3;3;REQ003
4402;0;0;80;2;3;REQ001
4717;1;2;81;0;0;REQ008REQ003REQ012REQ004
4999;1;0;80;2;0;REQ001
5254;1;1;80;2;1;REQ013
5476;1;0;80;2;0;REQ015
5789;0;0;80;2;0;
6061;0;1;81;1;1;REQ009REQ010REQ002
6355;0;1;80;2;1;REQ001
6589;0;0;80;2;1;
6908;1;2;80;2;0;REQ012
